depth,lake,strata_area_m2,vol_below_strata_m3,strata_vol_m3
0,Peter,26523,151342,12391.5
0.5,Peter,24426,138950.5,12391.5
1,Peter,22329,126559,10281.5
1.5,Peter,20576.5,116277.5,10281.5
2,Peter,18824,105996,8604
2.5,Peter,17252,97392,8604
3,Peter,15680,88788,7270.5
3.5,Peter,14588.5,81517.5,7270.5
4,Peter,13497,74247,6290
4.5,Peter,12597,67957,6290
5,Peter,11697,61667,5457.5
5.5,Peter,10946,56209.5,5457.5
6,Peter,10195,50752,4763.5
6.5,Peter,9517,45988.5,4763.5
7,Peter,8839,41225,4050
7.5,Peter,8072.5,37175,4050
8,Peter,7306,33125,3369
8.5,Peter,6778.5,29756,3369
9,Peter,6251,26387,2896.5
9.5,Peter,5772,23490.5,2896.5
10,Peter,5293,20594,2420
10.5,Peter,4867.5,18174,2420
11,Peter,4442,15754,2035
11.5,Peter,4069.5,13719,2035
12,Peter,3697,11684,1673.5
12.5,Peter,3354.5,10010.5,1673.5
13,Peter,3012,8337,1361
13.5,Peter,2731,6976,1361
14,Peter,2450,5615,1080
14.5,Peter,2163.5,4535,1080
15,Peter,1877,3455,812.5
15.5,Peter,1659.5,2642.5,812.5
16,Peter,1442,1830,607.5
16.5,Peter,1163,1222.5,607.5
17,Peter,884,615,235
17.5,Peter,571,380,235
18,Peter,258,145,71
18.5,Peter,134.5,74,71
19,Peter,11,3,
0,Paul,17441,65165,8144.5
0.5,Paul,15811.5,57020.5,8144.5
1,Paul,14182,48876,6106.5
1.5,Paul,12352.5,42769.5,6106.5
2,Paul,10523,36663,4733
2.5,Paul,9505,31930,4733
3,Paul,8487,27197,3776.5
3.5,Paul,7580.5,23420.5,3776.5
4,Paul,6674,19644,2932
4.5,Paul,5860,16712,2932
5,Paul,5046,13780,2190
5.5,Paul,4400.5,11590,2190
6,Paul,3755,9400,1618.5
6.5,Paul,3273,7781.5,1618.5
7,Paul,2791,6163,1222.5
7.5,Paul,2453.5,4940.5,1222.5
8,Paul,2116,3718,893.5
8.5,Paul,1780.5,2824.5,893.5
9,Paul,1445,1931,574
9.5,Paul,1174,1357,574
10,Paul,903,783,301
10.5,Paul,599,482,301
11,Paul,295,181,84.5
11.5,Paul,174.5,96.5,84.5
12,Paul,54,12,
